run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN120_p005_seed1,120,0.05,1,1074.000,1140.000,18.963,out/vehN120_p005_seed1_e1.xml
vehN10_p010_seed1,10,0.1,1,312.000,480.000,27.785,out/vehN10_p010_seed1_e1.xml
vehN20_p010_seed1,20,0.1,1,625.200,780.000,27.785,out/vehN20_p010_seed1_e1.xml
vehN30_p010_seed1,30,0.1,1,910.800,1020.000,27.746,out/vehN30_p010_seed1_e1.xml
vehN40_p010_seed1,40,0.1,1,1077.600,1200.000,27.690,out/vehN40_p010_seed1_e1.xml
vehN50_p010_seed1,50,0.1,1,1087.200,1200.000,27.753,out/vehN50_p010_seed1_e1.xml
vehN60_p010_seed1,60,0.1,1,1080.000,1200.000,27.729,out/vehN60_p010_seed1_e1.xml
vehN70_p010_seed1,70,0.1,1,1084.800,1200.000,27.345,out/vehN70_p010_seed1_e1.xml
vehN80_p010_seed1,80,0.1,1,1082.400,1140.000,26.815,out/vehN80_p010_seed1_e1.xml
vehN90_p010_seed1,90,0.1,1,1076.400,1140.000,27.041,out/vehN90_p010_seed1_e1.xml
vehN100_p010_seed1,100,0.1,1,1078.800,1140.000,25.766,out/vehN100_p010_seed1_e1.xml
vehN110_p010_seed1,110,0.1,1,1095.600,1200.000,27.191,out/vehN110_p010_seed1_e1.xml
vehN120_p010_seed1,120,0.1,1,1092.000,1200.000,18.811,out/vehN120_p010_seed1_e1.xml
vehN10_p015_seed1,10,0.15,1,314.400,540.000,28.046,out/vehN10_p015_seed1_e1.xml
vehN20_p015_seed1,20,0.15,1,626.400,900.000,27.822,out/vehN20_p015_seed1_e1.xml
vehN30_p015_seed1,30,0.15,1,912.000,1020.000,27.763,out/vehN30_p015_seed1_e1.xml
vehN40_p015_seed1,40,0.15,1,1092.000,1260.000,27.724,out/vehN40_p015_seed1_e1.xml
vehN50_p015_seed1,50,0.15,1,1112.400,1200.000,27.805,out/vehN50_p015_seed1_e1.xml
vehN60_p015_seed1,60,0.15,1,1088.400,1200.000,27.703,out/vehN60_p015_seed1_e1.xml
